W,M
collect,"수집하다, 모으다, (세금, 집세 등을) 징수하다, 모금하다"
collection,"수집(물), (세금 등의) 징수, 모금"
collective,"집단의, 공동의"
recollect,"생각해내다, 회상하다"
recollection,"추억, 기억(력)"
elect,"선거하다, 선출하다"
election,선거
neglect,"(의무, 일, 보살핌 등을) 소홀히 하다, 게을리 하다, 무시[경시]하다, 간과하다, 태만, 소홀, 방치, 무시, 경시"
intellect,"지성, 지력, 사고력, 지식인, 식자(識者)"
intellectual,"지적인, 지성의, 지식인"
intelligent,"(사람, 동물의 머리가) 영리한, 총명한"
intelligence,"지능, 지성, 이해력, (정부, 군대 등의) 정보(부), 첩보 기관"
elegant,"우아한, 고상한, 세련된"
elegance,"우아함, 고상함, 기품"
claim,"(권리, 소유권, 사실 여부 등을) 주장(하다), (손해 배상 등을) 요구[청구](하다)"
proclaim,"(공식적으로) 선언하다, 공표하다"
proclamation,선언(서)
exclaim,"외치다, 큰 소리로 말하다"
exclamation,"외침, 절규"
council,"협의회, 심의회, 지방 의회"
bankrupt,"파산한, 지불 불능의, 파산시키다, 파산자"
bankruptcy,"파산, 부도"
corrupt,"부패한, 부정한, 부패[타락]시키다, 부정을 저지르게 하다"
corruption,"부패, 부정, 타락"
disrupt,"방해하다, 지장을 주다, 분열[붕괴]시키다"
disruption,"붕괴, 파열, 혼란"
erupt,"(폭력 사태, 소음 등이) 갑자기 발생하다, (용암, 화산재 등이) 분출하다"
eruption,"(화산) 폭발, (용암 등의) 분출, (감정 등의) 폭발, (사건 등의) 발생"
interrupt,"가로막다, 방해하다, (일시적으로) 중단시키다"
interruption,"방해(물), 중단"
route,"길, 경로, (버스, 기차 등의) 노선, 항로, 방법, 수단"
routine,"일상적인 일[과정], 틀에 박힌 일, 일상적인, 틀에 박힌"
alter,"달라지다, 변하다, 바꾸다, 변하게 하다"
alteration,변화
alternative,"대안(代案)의, 대체할 수 있는, 대안(代案), 대체(물)"
alternate,"번갈아 하는, 격일[주]의, 하나 거르는, 대안의, 대체할 수 있는, 번갈아 (나오게) 하다, 번갈아 나오다, ... 사이에서 왔다 갔다 하다"
alternately,"번갈아, 교대로"
alternatively,그 대신에
alien,"외국(인)의, 이질적인, 다른, 외계의, (시민권 없이 거주하는) 외국인, 외계인, 우주인"
alienate,"(사람을) 멀어지게 하다, 소외시키다"
describe,"묘사하다, 기술하다"
description,"묘사, 기술, 설명"
descriptive,묘사적인
prescribe,"(약 등을) 처방하다, (공식적으로) 규정하다, 정하다"
prescription,"처방(전), 규정, 법규"
prescriptive,"규정하는, 명령하는, 규범적인"
subscribe,"(신문, 잡지 등을) (정기) 구독하다, (문서에) 서명하다, 서약하다"
subscription,"(신문, 잡지 등의) 구독(료), 기부, 가입"
subscriber,"구독자, 기부자, 이용자"
dictate,"(말한 것을) 받아쓰게 하다, 구술하다, 명령[지시]하다"
dictator,독재자
dictation,"받아쓰기, 구술, 명령, 지시"
addiction,"중독, 열중, 탐닉"
addict,"중독자, 중독되게[빠지게] 하다"
addicted,"중독된, 푹 빠진"
addictive,"중독(성)의, 푹 빠진"
contradict,"반박하다, ...와 모순되다"
contradiction,"모순, 반박"
contradictory,"(진술, 정보 등이) 모순되는"
dedicate,"(시간, 노력, 정성, 돈 등을) 바치다, 헌신하다"
dedicated,헌신적인
dedication,"헌신, 헌납, 헌정"
indicate,"가리키다, 지적하다, 암시하다, 나타내다"
indication,표시
indicator,"지표, 지수"
index,"(책 뒤쪽의) 색인, 목록, 지표, 지수"
invade,"침략[침입]하다, (권리 등을) 침해하다"
invader,"침략자, 침입자"
invasion,"침략, 침입, 침해, 침범"
pervade,"...에 널리 퍼지다, ...에 만연하다[가득 차다]"
pervasive,"만연하는, 스며[배어]드는"
evade,"(질문, 의무, 세금 등을) 회피하다, 탈출하다"
evasion,"회피, 기피"
moderate,"(양, 크기, 정도 등이) 보통의, 중간의, 온건한, 도를 지나치지 않는, (감정, 속도, 강도 등을) 누그러뜨리다, 완화하다, 완화되다, (토론, 회의 등을) 진행하다, 사회를 보다"
modernize,"현대[근대]화하다, 현대식으로 만들다"
modern,"현대의, 근대의, 현대적인"
modernization,"현대화, 근대화"
modest,"겸손한, 별로 많지[크지] 않은, 소박한, (태도 등이) 단정한, 품위 있는"
modesty,겸손
modify,"변경하다, 수정하다, 수식하다"
modification,"변경, 수정"
accommodate,"숙박시키다, (사람을) 수용하다, ...의 편의를 도모하다, (새로운 상황에) 적응하다, 적응시키다"
accommodation,"숙박 (시설), 합의, 조정"
commodity,"상품, 판매상품"
mold,"(주조용의) 형, 틀, 곰팡이, 틀에 넣어 만들다, (성격, 태도 등을) 형성하다"
ordinary,"보통의, 평범한, 통상적인"
ordinarily,"보통, 대체로"
subordinate,"...을 하위에 놓다, (지위, 계급이) 하위의, 하급의, 부차[부수]적인, 하급자"
coordinate,"조직화[편성]하다, 동등하게 조정하다, (몸의 움직임 등을) 조정하다, (옷, 가구 등을) 꾸미다, 잘 어울리다, 동등한, 동격의, 대등한, 좌표, 동등한 것[사람], 코디, 잘 조화되어 있는 것"
coordination,"조직화, 조정, 조화, 협동"
accident,"사고, 재난, 우연한 일"
accidental,"우연한, 뜻밖의"
accidentally,"우연히, 실수로"
incident,(특히 폭력적이거나 위험한) 사건
incidence,"(질병, 범죄, 사고 등의) 발병(률), 발생(률)"
incidental,"(...에) 부수적으로 일어나는, 부차적인"
incidentally,"우연히, 그건 그렇고, 그런데"
coincidence,"우연, (우연의) 일치"
coincident,"일치하는, 동시에 일어나는"
coincidental,우연의 (일치인)
coincidentally,우연히
casual,"느긋한, 무관심한, 격식을 차리지 않는, 평상시의, 우연한, 뜻하지 않은, 평상복"
casually,"격식 차리지 않고, 우연히, 별 생각 없이"
occasion,"(특정한) 때, 경우, 특별한 일[행사]"
occasional,"때때로의, 가끔 일어나는"
