W,M
disaster,"(뜻밖의) 재난, 참사, 큰 불행"
disastrous,"재난의, 비참한, 불행한"
astronaut,우주 비행사
astronomy,천문학
astronomical,"천문학의, (수, 양 등이) 천문학적인, 방대한"
astronomer,천문학자
astrology,"점성학, 점성술"
desire,"몹시 바라다, 원하다, 욕구하다, 욕구, 욕망, 소망"
desirable,"바람직한, 가치 있는, 얻고 싶은"
consider,"(곰곰이) 생각하다, 숙고하다, (...로) 여기다, 간주하다, (특정 사실을) 고려[참작]하다, (타인, 감정을) 존중[배려]하다"
considerate,"사려 깊은, 배려하는"
consideration,"숙고, 고려 (사항), 참작, 배려"
considerable,"(양, 정도 등이) 상당한, 많은"
considerably,"많이, 상당히"
considering,...을 고려하면
surge,"(군중, 감정 등이) 밀려들다, 쇄도하다, (가격, 수량 등이) 급등하다, 급증하다, 격동, 쇄도, 급등, 급증"
source,"근원, 원천, 원인, 출처"
resource,"자원, 물자, 자산, (학습, 연구) 자료"
sense,"(오감(五感)의) 감각, 느낌, 감정, 분별[판단]력, 감각, 센스, (단어, 어구의) 의미, 뜻, 느끼다, 감지하다, 알아채다"
sensitive,"섬세한, 민감한, 예민한"
sensitivity,"세심함, 민감, 예민함"
sensible,"분별[지각] 있는, 현명한"
sensibility,"(문화, 예술적) 감각, 감성, 감수성"
sensory,감각의
senseless,"분별 없는, 무분별한, 몰상식한, 무의미한"
nonsense,"무의미한[어리석은] 말[행동], 터무니없는 생각"
sensation,"감각, (설명하기 힘든) 느낌, 기분, 감동, 감흥, 세상을 놀라게 하는 것"
sensational,"세상을 놀라게 하는, 선정적인"
sentiment,"감정, 정서, 의견, 생각, 감상"
sentimental,"감정적인, 감상적인, 동정적인"
consent,"승낙, 허가, 동의, 승낙[허락]하다, 동의하다"
consensus,"의견 일치, 합의"
resent,"분개하다, 화를 내다"
resentment,"분개, 분노"
resentful,"분개하는, 화난"
scent,"향기, 냄새"
discord,"(의견 등의) 불일치, 불화, 불협화음"
accord,"부합하다, 일치하다, 부여하다, (생각 등에 대한) 일치, (국가, 기관 간의) 협정, 합의"
accordance,"일치, 합치, 부합"
accordingly,"따라서, 그러므로, 그에 맞게, 그에 따라서"
courage,"용기, 담력"
courageous,용기[담력] 있는
encourage,"용기를 북돋우다, (...하는 것을) 장려하다, 촉진하다, 조장하다"
encouragement,"격려, 고무, 장려, 조장"
core,"핵심, 중심부, 중요 부분, (사물의) 심, 속, 핵심의, 가장 중요한, 중심적인"
terminal,"맨 끝의, 말단의, 종말의, (병이) 말기의, 종점, 종착역, (버스, 열차 등의) 터미널"
terminate,"종결하다, 끝내다, 종결되다, 끝나다"
termination,"(협상, 계약, 상황 등의) 종결, 종료"
determine,"결정짓다, 좌우하다, 결심하다"
determined,"결연한, 단호한, (...하기로) 결심한"
determination,"결심, 결의, 결정"
term,"용어, 말, (계약 등의) 조건, 기간, 임기, 학기, 관계, 사이, (...라고) 이름 짓다, 칭하다, 부르다"
mental,"정신의, 마음의"
mention,"언급, 거론, 언급[거론]하다, ...에 대해 말하다"
comment,"의견(을 말하다), 논평(하다)"
remind,"(기억하도록) 상기시키다, 일깨워주다, (과거의 사건, 사람 등을) 생각나게 하다"
reminder,"생각나게 하는 것, 독촉장, (상기시키는) 메모"
monument,"기념물, 기념관"
monumental,"기념비적인, 역사적 가치를 지닌"
monitor,"(컴퓨터, TV 등의) 화면, 모니터, 감시[관찰](자), 감시[관찰]하는 일, 감독[감시]하다, 관찰하다"
summon,"호출하다, (법원에) 소환하다, (회의 등을) 소집하다, (용기 등을) 내다"
summons,"(법원) 소환장, 호출"
eliminate,"제거하다, 없애다"
elimination,"제거, 삭제"
preliminary,"예비의, 준비의, 예선의, 서두의, 예비, 준비, 예선전, 서두"
limit,"(양, 속도 등의) 제한(선), 경계, 한계(량), 극한, 최대치, 제한하다, 한정하다"
limitation,"제한, 한계, 규제"
limited,"제한적인, 한정된"
limitless,"제한이 없는, 방대한"
text,"본문, (모든 형태의) 글, 텍스트, 원문, 문자 메시지를 보내다"
textbook,"교과서, 교본"
context,"(사건 등의) 배경, 정황, (문장의) 문맥, 전후 관계"
textile,"직물, 옷감"
texture,"감촉, 질감, 결, 짜임새, 조화"
comprehend,"이해하다, 파악하다"
comprehension,이해(력)
comprehensive,"포괄적인, 광범위한"
comprehensible,이해할 수 있는
prison,"감옥, 교도소"
prisoner,"죄수, 수감자, 포로"
imprison,"수감하다, 감금하다"
imprisonment,"투옥 (상태), 감금"
surprise,"놀라게 하다, 놀람, 뜻밖의 일"
surprising,"놀라운, 깜짝 놀랄 만한, 의외의"
surprisingly,"놀랄 만큼, 의외로"
enterprise,"기업, 회사, 진취적인 정신, (중요하거나 모험적인) 사업, 계획"
enterprising,"(사람, 행동이) 진취[모험]적인"
prey,"먹이, 희생물, 희생자, 잡아먹다, 먹이로 삼다, 괴롭히다"
prosper,"(일, 사업 등이) 번영[번창]하다, 성공하다"
prosperous,"번영하는, 성공한"
prosperity,"번영, 성공"
despair,"절망(하다), 자포자기(하다)"
desperate,"절박한, 필사적인, 자포자기의, 심각한, 절망적인"
desperately,"필사적으로, 몹시"
please,"기쁘게[즐겁게] 하다, 만족시키다, 제발, 아무쪼록"
pleased,"기뻐하는, 만족하는"
pleasing,"기쁨을 주는, 만족스러운"
pleasant,"즐거운, 기분 좋은"
pleasure,"기쁨, 즐거움"
plead,"(...에게) 애원하다, 간청[탄원]하다, (소송에서) 주장[변론]하다"
plea,"간청, 탄원, (소송에서의) 항변, 주장"
admit,"(사실, 비난 등을) 시인[인정]하다, 입장[입학]을 허가하다"
admission,"입장[입학] (허가), 시인, 인정, 입장료"
commit,"(죄, 과실 등을) 범하다, 저지르다, 전념[헌신]하다, 약속하다, 서약하다, (감옥, 병원 등에) 보내다"
commitment,"약속, 전념, 헌신, 의무, 책임"
committee,위원회
emit,"(가스, 빛, 열 등을) 내뿜다, 방출하다"
emission,"(가스, 빛, 열 등의) 배출(물)"
omit,"생략하다, 빠뜨리다"
omission,"생략(된 것), 누락"
permit,"허락[허용]하다, 용인하다, 허가(증)"
permission,"허가, 허락, 면허, 승인"
submit,"제출하다, (법, 권위 등에) 복종[굴복]하다"
submission,"제출, 복종, 굴복"
transmit,"(신호 등을) 보내다, 전송하다, (정보, 질병 등을) 전하다, (빛, 열, 소리 등을) 전도하다, 투과시키다"
transmission,"보냄, 전송, 전도"
mission,"임무, 사명, (조직, 개인 등의) 목표, (정부, 종교) 사절(단)"
missionary,"선교사, 전도사, 전도의"
commission,"위원회, 수수료, 커미션, 위임(장), 의뢰하다, 주문하다, 위임하다, 권한을 주다"
promise,"약속, 계약, 전망, 장래성, 약속[계약]하다, ...할 가망이 있다"
promising,"유망한, 장래성이 있는"
mess,"더러움, 어수선함, 혼란 (상태), 어지르다, 더럽히다"
render,"...을 ~한 상태로 만들다, (도움 등을) 주다, 제공하다, (글, 그림 등으로) 표현하다, 묘사하다"
surrender,"항복하다, 넘겨주다, 양도하다, 항복, 양도, 포기"
edit,"(책, 잡지, 신문, 영상 등을) 편집하다, 수정하다"
editor,"편집자, 에디터"
edition,(간행물의) 판(版)
editorial,"사설, 논설, 편집(자)의"
add,"추가하다, 늘리다, 더하다, 합하다, 덧붙여 말하다, 부언하다"
addition,"첨가(물), 추가(물), 덧셈"
additional,"추가의, 부가적인"
additionally,"게다가, 추가적으로"
rent,"임대[임차]료, 집세, 사용료, 임대[임차]하다, 빌려주다, 빌리다"
rental,"사용료, 임대료, 임대(물), 대여(물), 임대의, 임대할 수 있는"
certain,"확실한, 틀림없는, 일정한, 특정한, (명시하지 않고) 어떤, 어느"
certainly,확실히
certainty,"확실함, 확신"
certificate,"증명서, 이수[수료] 증명서"
certified,"보증된, 증명된"
spirit,"정신, 마음, 영혼, 혼, 열정, 사기(士氣), 활기, 감정, 기분"
spiritual,"정신의, 정신적인, 영적인, 종교적인"
aspire,"(...하기를) 열망[갈망]하다, 바라다"
aspiration,"열망, 갈망"
inspire,"고무시키다, 격려하다, (감정, 사상 등을) 불어넣다, 영감을 주다"
inspiration,"영감, (창조적) 자극, 고무, 격려, 격려가 되는 것[사람]"
expire,"(계약, 임기 등이) 만기가 되다, 끝나다, 소멸하다"
expiration,"만료, 만기, 종결"
